holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,ID
None,-4.7,0.0,0.0,100,Clouds,overcast clouds,2013-02-01 00:00:00,,5001
None,-8.0,0.0,0.0,100,Clouds,overcast clouds,2013-02-01 03:00:00,,5002
None,-8.0,0.0,0.0,100,Clouds,overcast clouds,2013-02-01 04:00:00,,5003
None,-8.0,0.0,0.0,100,Clouds,overcast clouds,2013-02-01 05:00:00,,5004
None,-9.8,0.0,0.0,100,Clouds,overcast clouds,2013-02-01 08:00:00,,5005
None,-5.8,0.0,0.0,99,Clouds,overcast clouds,2013-02-01 09:00:00,,5006
None,-5.8,0.0,0.0,99,Clouds,overcast clouds,2013-02-01 10:00:00,,5007
None,-5.8,0.0,0.0,99,Clouds,overcast clouds,2013-02-01 11:00:00,,5008
None,-3.7,0.0,0.0,85,Clouds,overcast clouds,2013-02-01 12:00:00,,5009
None,-3.7,0.0,0.0,85,Clouds,overcast clouds,2013-02-01 13:00:00,,5010
None,-3.7,0.0,0.0,85,Clouds,overcast clouds,2013-02-01 14:00:00,,5011
None,-6.5,0.0,0.0,83,Clouds,broken clouds,2013-02-01 15:00:00,,5012
None,-9.2,0.0,0.0,70,Clouds,broken clouds,2013-02-01 19:00:00,,5013
None,-10.2,0.0,0.0,59,Clouds,broken clouds,2013-02-01 22:00:00,,5014
None,-7.5,0.0,0.0,84,Clouds,broken clouds,2013-02-01 23:00:00,,5015
None,-19.0,0.0,0.0,11,Clouds,few clouds,2013-02-02 05:00:00,,5016
None,-17.4,0.0,0.0,0,Clear,sky is clear,2013-02-02 06:00:00,,5017
None,-17.4,0.0,0.0,0,Clear,sky is clear,2013-02-02 07:00:00,,5018
None,-17.4,0.0,0.0,0,Clear,sky is clear,2013-02-02 08:00:00,,5019
None,-8.9,0.0,0.0,3,Clear,sky is clear,2013-02-02 09:00:00,,5020
None,-1.6,0.0,0.0,56,Clouds,broken clouds,2013-02-02 14:00:00,,5021
None,1.1,0.0,0.0,77,Clouds,broken clouds,2013-02-02 15:00:00,,5022
None,1.1,0.0,0.0,77,Clouds,broken clouds,2013-02-02 16:00:00,,5023
None,2.3,0.0,0.0,85,Clouds,overcast clouds,2013-02-02 18:00:00,,5024
None,2.3,0.0,0.0,85,Clouds,overcast clouds,2013-02-02 19:00:00,,5025
None,2.3,0.0,0.0,85,Clouds,overcast clouds,2013-02-02 20:00:00,,5026
None,1.9,0.0,0.0,93,Clouds,overcast clouds,2013-02-02 21:00:00,,5027
None,1.9,0.0,0.0,93,Clouds,overcast clouds,2013-02-02 22:00:00,,5028
None,-1.7,0.0,0.0,98,Clouds,overcast clouds,2013-02-03 00:00:00,,5029
None,-1.7,0.0,0.0,98,Clouds,overcast clouds,2013-02-03 01:00:00,,5030
None,-10.6,0.0,0.0,88,Clouds,overcast clouds,2013-02-03 03:00:00,,5031
None,-10.6,0.0,0.0,88,Clouds,overcast clouds,2013-02-03 04:00:00,,5032
None,-9.1,0.0,0.0,67,Clouds,broken clouds,2013-02-03 07:00:00,,5033
None,-1.3,0.0,0.0,59,Clouds,broken clouds,2013-02-03 10:00:00,,5034
None,3.5,0.0,0.0,91,Clouds,overcast clouds,2013-02-03 12:00:00,,5035
None,5.8,0.0,0.0,91,Clouds,overcast clouds,2013-02-03 14:00:00,,5036
None,2.9,0.0,0.0,93,Clouds,overcast clouds,2013-02-03 15:00:00,,5037
None,2.9,0.0,0.0,93,Clouds,overcast clouds,2013-02-03 17:00:00,,5038
None,6.4,0.0,0.0,98,Clouds,overcast clouds,2013-02-03 20:00:00,,5039
None,5.4,0.0,0.0,97,Clouds,overcast clouds,2013-02-03 21:00:00,,5040
None,5.4,0.0,0.0,97,Clouds,overcast clouds,2013-02-03 22:00:00,,5041
None,5.4,0.0,0.0,97,Clouds,overcast clouds,2013-02-03 23:00:00,,5042
None,0.3,0.0,0.0,58,Clouds,broken clouds,2013-02-04 02:00:00,,5043
None,-2.2,0.0,0.0,4,Clear,sky is clear,2013-02-04 07:00:00,,5044
None,5.3,0.0,0.0,5,Clear,sky is clear,2013-02-04 09:00:00,,5045
None,5.3,0.0,0.0,5,Clear,sky is clear,2013-02-04 10:00:00,,5046
