holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,ID
None,38.0,0.0,0.0,1,Clear,sky is clear,2018-03-27 22:00:00,2058,1
None,54.8,0.0,0.0,90,Mist,mist,2017-04-25 09:00:00,5217,2
None,1.0,0.0,0.0,1,Clear,sky is clear,2018-02-04 14:00:00,3686,3
None,35.5,0.0,0.0,1,Mist,mist,2018-04-12 08:00:00,6198,4
None,46.1,0.0,0.0,90,Rain,light rain,2013-04-22 20:00:00,2063,5
None,43.5,0.0,0.0,1,Clear,sky is clear,2016-02-27 22:00:00,3778,6
None,34.7,0.0,0.0,75,Mist,mist,2013-03-10 00:00:00,1087,7
None,43.9,0.45,0.0,90,Rain,light rain,2014-04-28 02:00:00,206,8
None,-4.0,0.0,0.0,1,Clear,sky is clear,2014-02-05 22:00:00,1448,9
None,31.4,0.0,0.0,1,Fog,fog,2018-04-11 03:00:00,374,10
None,38.0,0.0,0.0,1,Clear,sky is clear,2014-04-26 03:00:00,226,11
None,53.7,0.0,0.0,90,Rain,light rain,2016-04-19 12:00:00,5138,12
None,19.9,0.0,0.0,1,Clear,sky is clear,2017-02-06 10:00:00,4218,13
None,41.1,1.52,0.0,90,Rain,moderate rain,2016-04-28 18:00:00,4884,14
None,36.8,0.0,0.0,1,Mist,mist,2016-03-11 09:00:00,4996,15
None,29.4,0.0,0.0,1,Clear,sky is clear,2013-03-24 22:00:00,1581,16
None,23.9,0.0,0.0,90,Clouds,overcast clouds,2014-03-23 16:00:00,4134,17
None,-9.4,0.0,0.0,1,Clear,sky is clear,2018-02-02 09:00:00,4963,18
None,27.7,0.0,0.0,90,Snow,heavy snow,2013-03-13 15:00:00,5774,19
None,34.2,0.0,0.0,90,Rain,moderate rain,2018-03-26 19:00:00,3000,20
None,36.8,0.0,0.0,1,Rain,light rain,2017-02-11 23:00:00,1822,21
None,41.5,0.0,0.0,1,Clear,sky is clear,2017-02-10 22:00:00,2242,22
None,34.6,0.0,0.0,1,Clear,sky is clear,2018-02-14 21:00:00,2493,23
None,32.0,0.0,0.0,90,Clouds,overcast clouds,2017-03-18 12:00:00,5058,24
None,68.9,0.0,0.0,1,Clear,sky is clear,2013-04-30 14:00:00,5399,25
None,37.9,1.02,0.0,90,Rain,moderate rain,2014-04-13 19:00:00,3009,26
None,36.7,0.0,0.0,1,Clear,sky is clear,2013-03-26 15:00:00,5546,27
None,39.4,0.0,0.0,90,Clouds,overcast clouds,2017-03-30 04:00:00,856,28
None,26.5,0.0,0.0,20,Clouds,few clouds,2013-04-25 06:00:00,5924,29
None,11.2,0.0,0.0,1,Clear,sky is clear,2014-03-26 03:00:00,367,30
None,38.2,0.0,0.0,75,Clouds,broken clouds,2017-03-22 18:00:00,4575,31
None,32.7,0.0,0.0,90,Clouds,overcast clouds,2017-04-11 05:00:00,2623,32
None,8.0,0.0,0.0,1,Clear,sky is clear,2018-02-09 13:00:00,5340,33
None,34.3,0.0,0.0,1,Clear,sky is clear,2018-04-18 02:00:00,431,34
None,35.6,0.0,0.0,90,Rain,light rain,2018-03-05 12:00:00,3719,35
None,30.7,0.0,0.0,90,Snow,snow,2018-04-03 16:00:00,4930,36
None,22.3,0.0,0.0,20,Clouds,few clouds,2014-02-18 05:00:00,2686,37
None,60.5,0.0,0.0,90,Drizzle,light intensity drizzle,2017-04-25 01:00:00,351,38
None,17.2,0.0,0.0,1,Clear,sky is clear,2017-03-03 09:00:00,5025,39
None,26.0,0.0,0.0,75,Clouds,broken clouds,2013-03-12 22:00:00,3271,40
None,40.0,0.57,0.0,1,Rain,light rain,2014-04-05 12:00:00,4949,41
None,45.8,0.0,0.0,90,Rain,moderate rain,2016-03-16 00:00:00,621,42
None,20.6,0.0,0.0,1,Clear,sky is clear,2017-03-09 22:00:00,2820,43
None,29.8,0.0,0.0,90,Clouds,overcast clouds,2013-02-14 11:00:00,4818,44
None,71.5,0.0,0.0,20,Clouds,few clouds,2014-04-20 19:00:00,4301,45
None,34.7,0.0,0.0,1,Clear,sky is clear,2018-03-15 14:00:00,5448,46
None,-3.5,0.0,0.0,1,Clear,sky is clear,2018-02-01 08:00:00,5332,47
None,34.8,0.0,0.0,1,Clear,sky is clear,2017-03-21 15:00:00,5827,48
None,43.2,0.0,0.0,1,Clear,sky is clear,2017-04-07 09:00:00,5062,49
None,26.5,0.0,0.0,90,Mist,mist,2017-03-01 07:00:00,3683,50
None,39.4,0.0,0.0,90,Clouds,overcast clouds,2013-04-18 17:00:00,3618,51
None,10.2,0.0,0.0,1,Clear,sky is clear,2013-03-20 10:00:00,4438,52
None,18.3,0.0,0.0,40,Clouds,scattered clouds,2017-02-09 18:00:00,4828,53
None,32.1,0.0,0.0,90,Snow,snow,2016-03-23 19:00:00,2713,54
None,55.0,0.0,0.0,75,Mist,mist,2016-03-08 06:00:00,5774,55
None,24.3,0.25,0.0,90,Rain,light rain,2014-03-24 11:00:00,4067,56
None,36.8,0.0,0.0,90,Snow,light snow,2018-03-05 00:00:00,703,57
None,24.2,0.0,0.0,90,Haze,haze,2018-04-16 00:00:00,407,58
None,50.2,0.0,0.0,20,Clouds,few clouds,2014-04-10 21:00:00,3724,59
None,21.9,0.0,0.0,90,Clouds,overcast clouds,2014-02-17 02:00:00,245,60
None,26.2,0.0,0.0,20,Clouds,few clouds,2013-02-13 19:00:00,3098,61
None,37.5,0.0,0.0,90,Clouds,overcast clouds,2013-04-10 05:00:00,2568,62
None,-6.1,0.0,0.0,1,Clear,sky is clear,2014-02-06 00:00:00,479,63
None,10.7,0.0,0.0,1,Clear,sky is clear,2014-03-16 08:00:00,1738,64
None,27.6,0.0,0.0,40,Clouds,scattered clouds,2014-04-01 12:00:00,4760,65
None,19.0,0.0,0.0,90,Clouds,overcast clouds,2014-02-16 16:00:00,4354,66
None,53.9,0.0,0.0,90,Drizzle,light intensity drizzle,2016-04-21 08:00:00,6303,67
None,35.7,0.0,0.0,90,Clouds,overcast clouds,2017-02-23 02:00:00,304,68
None,66.9,0.0,0.0,90,Clouds,overcast clouds,2017-04-15 14:00:00,4568,69
None,31.9,0.0,0.0,40,Clouds,scattered clouds,2018-02-17 13:00:00,4792,70
None,27.4,0.0,0.0,90,Clouds,overcast clouds,2013-03-04 23:00:00,2298,71
None,24.6,0.0,0.0,75,Clouds,broken clouds,2013-02-24 18:00:00,3509,72
None,44.7,0.0,0.0,1,Clear,sky is clear,2013-04-28 08:00:00,2076,73
None,2.7,0.0,0.0,40,Clouds,scattered clouds,2014-02-14 02:00:00,295,74
None,-5.8,0.0,0.0,90,Clouds,overcast clouds,2014-03-03 09:00:00,4751,75
None,68.7,0.0,0.0,75,Clouds,broken clouds,2017-04-09 14:00:00,4497,76
None,30.5,0.0,0.0,90,Snow,light snow,2018-04-14 03:00:00,309,77
None,32.8,0.0,0.0,90,Mist,mist,2016-04-07 07:00:00,6731,78
None,52.6,0.0,0.0,90,Mist,mist,2016-04-25 12:00:00,4678,79
None,19.4,0.0,0.0,75,Clouds,broken clouds,2014-03-09 05:00:00,494,80
None,16.7,0.0,0.0,1,Clear,sky is clear,2017-02-06 05:00:00,2600,81
None,41.7,0.0,0.0,1,Clear,sky is clear,2016-03-27 19:00:00,2675,82
None,21.8,0.0,0.0,75,Clouds,broken clouds,2013-02-09 20:00:00,2768,83
None,28.1,0.0,0.0,90,Clouds,overcast clouds,2013-03-12 03:00:00,321,84
