iter	RMSE
0	0.9367991236
1	0.89446025
2	0.8530631947
3	0.8170780653
4	0.7811790265
5	0.7478911626
6	0.7173068679
7	0.687479183
8	0.6584619433
9	0.6317731117
10	0.6063323594
11	0.5812108418
12	0.5576632158
13	0.5343998111
14	0.5123495645
15	0.4944750779
16	0.4770749637
17	0.4600817834
18	0.4435883249
19	0.4287332096
20	0.4150246914
21	0.4012781075
22	0.3878865307
23	0.3750812712
24	0.3629737275
25	0.3525273176
26	0.3417739787
27	0.3324725422
28	0.3231868614
29	0.3147395751
30	0.307683505
31	0.3003036891
32	0.2936142469
33	0.2880401329
34	0.2818262504
35	0.2766100256
36	0.2708575039
37	0.2665222761
38	0.2618130922
39	0.2565594736
40	0.252662398
41	0.2489364714
42	0.2451257879
43	0.2415464608
44	0.2379426176
45	0.2348833461
46	0.2321694512
47	0.2293695883
48	0.2268157787
49	0.2241355045
50	0.2219195356
51	0.2197627278
52	0.2176472929
53	0.2154808663
54	0.2138694927
55	0.2118328816
56	0.2100635852
57	0.2080255759
58	0.2061105734
59	0.2046165815
60	0.2030735011
61	0.2013432885
62	0.2000859708
63	0.1988081883
64	0.1975798143
65	0.196517133
66	0.194744974
67	0.1937213121
68	0.1927439243
69	0.1918717258
70	0.1903857555
71	0.1891852453
72	0.1879049993
73	0.1870148446
74	0.1862817153
75	0.1856819559
76	0.1851120651
77	0.1841616126
78	0.1834909424
79	0.1827290255
80	0.1819619996
81	0.1812161609
82	0.1803925613
83	0.1796914676
84	0.1786480621
85	0.1776600042
86	0.1769668405
87	0.1762369545
88	0.1753455977
89	0.1747743893
90	0.1740615636
91	0.1733469118
92	0.1728817828
93	0.172506911
94	0.1721402764
95	0.1717293417
96	0.171388484
97	0.1710005997
98	0.1705448277
99	0.1699132706
100	0.1695156355
101	0.1690755666
102	0.168502348
103	0.1681811314
104	0.1676523175
105	0.1671678308
106	0.1666101861
107	0.1663967868
108	0.1662156092
109	0.1657349547
110	0.1653826385
111	0.1650103041
112	0.1645574575
113	0.1642771068
114	0.1640537039
115	0.1638720092
116	0.163702331
117	0.163451298
118	0.1632590277
119	0.1627876106
120	0.1626077942
121	0.1623813097
122	0.1621263009
123	0.1619708449
124	0.16159072
125	0.1614231112
126	0.1611956506
127	0.1610587751
128	0.1609266591
129	0.160734325
130	0.1605343484
131	0.1603946905
132	0.160066304
133	0.159858259
134	0.159716145
135	0.1592430956
136	0.1589258285
137	0.1587565032
138	0.1585804527
139	0.1584758962
140	0.1583627664
141	0.1580488194
142	0.1579103014
143	0.1576275911
144	0.1574552708
145	0.1571524604
146	0.1569892987
147	0.1568504702
148	0.1567047093
149	0.1564980936
150	0.156324762
151	0.1561302968
152	0.155915206
153	0.1557066946
154	0.1555392298
155	0.1553776461
156	0.1552950898
157	0.1551631593
158	0.1550258012
159	0.1548763602
160	0.1546910914
161	0.1546053628
162	0.1543146304
163	0.154183054
164	0.1540521212
165	0.1538634642
166	0.1537801218
167	0.1536918846
168	0.1535831985
169	0.15344551
170	0.1533602378
171	0.1532556949
172	0.1530668352
173	0.1528989258
174	0.1527754592
175	0.1527060838
176	0.1525841248
177	0.1524312738
178	0.152378594
179	0.1522425376
180	0.1520317251
181	0.1519454336
182	0.1517213643
183	0.1516302819
184	0.1515649091
185	0.1514224771
186	0.1512486527
187	0.1511014189
188	0.151002956
189	0.1508853846
190	0.1507803469
191	0.1506562263
192	0.1504865202
193	0.1503660163
194	0.1502222316
195	0.1500803883
196	0.149913835
197	0.1498280376
198	0.1497921634
199	0.1495993615
200	0.1495243858
201	0.1494617582
202	0.1494220167
203	0.1493454607
204	0.1492574339
205	0.1491431581
206	0.1490371583
207	0.1488913674
208	0.1487780516
209	0.1486792542
210	0.1484726218
211	0.1484229482
212	0.1483217851
213	0.1480164912
214	0.1479342178
215	0.147847127
216	0.1477658819
217	0.1477035455
218	0.1476215034
219	0.1474427384
220	0.1473145711
221	0.1472246294
222	0.1471324684
223	0.1468793655
224	0.1467541442
225	0.146626418
226	0.1465560672
227	0.1464873737
228	0.146402104
229	0.1462848112
230	0.1462290798
231	0.1461463587
232	0.1461094134
233	0.1459433036
234	0.1458989268
235	0.1458017574
236	0.1457433712
237	0.1456730549
238	0.1455990798
239	0.1455597427
240	0.1454949393
241	0.1454270611
242	0.1453293648
243	0.1452610826
244	0.1451924684
245	0.1450892951
246	0.1450369324
247	0.1449482129
248	0.1449193922
249	0.1448566484
250	0.1447890937
251	0.1447092385
252	0.1446274718
253	0.1445171412
254	0.1444399848
255	0.1443590884
256	0.1441709243
257	0.1440923549
258	0.1439875724
259	0.1439227069
260	0.1438508053
261	0.1437761213
262	0.1436850069
263	0.1435912181
264	0.1435024936
265	0.1434323524
266	0.1432342768
267	0.1431353955
268	0.1430774284
269	0.142956536
270	0.1428888201
271	0.1428269378
272	0.1427783972
273	0.1426850348
274	0.1424211737
275	0.1423284254
276	0.1421573526
277	0.1420859295
278	0.1418397211
279	0.1416976884
280	0.1416299775
281	0.1415714246
282	0.1414011502
283	0.1413239657
284	0.141227625
285	0.1411729082
286	0.1410277177
287	0.1409950354
288	0.1409021663
289	0.1407616486
290	0.1406744915
291	0.140622798
292	0.1405694578
293	0.1404944456
294	0.1404438648
295	0.1403286883
296	0.1402069042
297	0.1401603662
298	0.1400849494
299	0.1399272767
300	0.139712311
301	0.1396472335
302	0.1395641038
303	0.1394693422
304	0.1393982585
305	0.1393724056
306	0.1393498103
307	0.1391326357
308	0.1390915598
309	0.1390473018
310	0.1388677991
311	0.1387633697
312	0.138675265
313	0.1386187714
314	0.1385791451
315	0.1385460141
316	0.1384759779
317	0.1384050817
318	0.1382852983
319	0.1382329902
320	0.1381154806
321	0.138080695
322	0.1380021273
323	0.1378553493
324	0.1378231472
325	0.1376848374
326	0.1375588485
327	0.1375175461
328	0.137339004
329	0.1372799249
330	0.1372558918
331	0.1372040501
332	0.1371597302
333	0.1371256667
334	0.1370282828
335	0.136981523
336	0.1369075791
337	0.1366776205
338	0.1366396175
339	0.1366013795
340	0.1365399039
341	0.1364251493
342	0.1363321036
343	0.1361994128
344	0.1361614431
345	0.1361201803
346	0.1360655261
347	0.135938669
348	0.1358637694
349	0.1358237764
350	0.135760922
351	0.1357025531
352	0.13554477
353	0.1355043734
354	0.1353704315
355	0.1353261645
356	0.1352894729
357	0.1352120526
358	0.1351067817
359	0.135082173
360	0.1349377499
361	0.1348513893
362	0.1347619473
363	0.1347406351
364	0.1347008151
365	0.1346691765
366	0.1346001221
367	0.1345810158
368	0.1345266353
369	0.1344568197
370	0.1343238639
371	0.1341966673
372	0.1340258373
373	0.1339272704
374	0.1338771776
375	0.1338003449
376	0.1337041284
377	0.1336344611
378	0.1335517629
379	0.1334951249
380	0.1334198758
381	0.1333704024
382	0.1332531612
383	0.1331907946
384	0.1330758213
385	0.1329941138
386	0.1328864908
387	0.1328332402
388	0.1327949017
389	0.1327040237
390	0.1325761683
391	0.1325198801
392	0.1324194134
393	0.1323945471
394	0.1323312575
395	0.132296114
396	0.1321949832
397	0.1321093999
398	0.1320540802
399	0.1319620357
400	0.1319130682
401	0.1318392057
402	0.1317542584
403	0.1316335186
404	0.1315857296
405	0.1315189746
406	0.1314628253
407	0.1313945376
408	0.1312760734
409	0.1312590631
410	0.1311989962
411	0.1311559137
412	0.1311151883
413	0.1310772398
414	0.1309920026
415	0.1308775381
416	0.1307385713
417	0.1306806282
418	0.1305955021
419	0.1305445595
420	0.1304986533
421	0.1304205466
422	0.1303620995
423	0.1302977801
424	0.1302536018
425	0.1301800571
426	0.1301391157
427	0.130106133
428	0.1300708183
429	0.1300251093
430	0.1300065793
431	0.1299137499
432	0.1298567989
433	0.1298090958
434	0.1297932324
435	0.129772536
436	0.1297166598
437	0.1295813758
438	0.1295362838
439	0.1294629971
440	0.1293692376
441	0.1292325646
442	0.1291958482
443	0.1291361682
444	0.1290872978
445	0.1290502142
446	0.128950044
447	0.1288993143
448	0.1288574396
449	0.128829773
450	0.128750817
451	0.1286774199
452	0.1286378262
453	0.1285743194
454	0.128521383
455	0.1284904244
456	0.1284232661
457	0.128376102
458	0.1282783387
459	0.128189884
460	0.1280971344
461	0.1279804105
462	0.127889213
463	0.1278260029
464	0.127775337
465	0.1277480793
466	0.1277022613
467	0.1276634703
468	0.1275869704
469	0.1275513545
470	0.1275239302
471	0.1274764192
472	0.1274290913
473	0.1273849154
474	0.1273314212
475	0.1272396396
476	0.1271660588
477	0.1271336649
478	0.1270319214
479	0.1269727381
480	0.1269342627
481	0.1268436846
482	0.1267996366
483	0.1267770099
484	0.1267290786
485	0.1266894858
486	0.12666184
487	0.1266172077
488	0.1265824391
489	0.1265140904
490	0.1264319772
491	0.1263864652
492	0.1263199809
493	0.1262620982
494	0.1262257531
495	0.1262054216
496	0.1261188952
497	0.1260399302
498	0.1260029926
499	0.1259682416
500	0.1258913756
501	0.1258231832
502	0.125778531
503	0.1257275227
504	0.12568499
505	0.1256570057
506	0.1255834535
507	0.1255121663
508	0.1254672222
509	0.1254291316
510	0.1253619309
511	0.1253205118
512	0.1252744959
513	0.1252460015
514	0.1251948834
515	0.1251180693
516	0.1250218002
517	0.1249625115
518	0.124890266
519	0.1248430245
520	0.12481239
521	0.1247789514
522	0.124741482
523	0.1247195382
524	0.1246752942
525	0.1246001688
526	0.1245792805
527	0.1245011829
528	0.1244614333
529	0.1243892118
530	0.124338308
531	0.1242597564
532	0.1241985031
533	0.124153227
534	0.1241222972
535	0.1240358715
536	0.1239629269
537	0.12391731
538	0.1238653401
539	0.1238531359
540	0.1237895584
541	0.1237485754
542	0.1237065226
543	0.1236582021
544	0.1236344149
545	0.1236156485
546	0.1235256397
547	0.1234344728
548	0.123354905
549	0.123325228
550	0.1232405735
551	0.1231879689
552	0.123145524
553	0.1231172888
554	0.1230685814
555	0.1230320682
556	0.1229784495
557	0.1229008998
558	0.1228536169
559	0.1228181606
560	0.122707626
561	0.1226140526
562	0.122537531
563	0.1224772151
564	0.1223761162
565	0.1223120851
566	0.1222738011
567	0.1222095139
568	0.1221983538
569	0.1221216122
570	0.1220827678
571	0.1220752653
572	0.1219851714
573	0.1219350377
574	0.1218553581
575	0.121820703
576	0.1217688351
577	0.1217152856
578	0.1216533402
579	0.1216023369
580	0.1215446
581	0.1215110477
582	0.1214786128
583	0.1213947184
584	0.1213254399
585	0.1212872093
586	0.1212580598
587	0.1211844496
588	0.1210988324
589	0.1210500258
590	0.1209732614
591	0.1209105454
592	0.1208737656
593	0.1208515924
594	0.1208265045
595	0.1207763305
596	0.1206939529
597	0.1206455902
598	0.1206040743
599	0.1205372213
600	0.1204928419
601	0.1204343819
602	0.1203991025
603	0.1203421368
604	0.1203127962
605	0.1202728589
606	0.1201695518
607	0.1201298492
608	0.1201026523
609	0.1200410044
610	0.1199950316
611	0.1199667657
612	0.1199239979
613	0.1198904126
614	0.1198467838
615	0.1198020764
616	0.1197392954
617	0.1197105309
618	0.1196771962
619	0.119628671
620	0.1195727537
621	0.1195270762
622	0.1195052423
623	0.119461786
624	0.1194317275
625	0.1194108622
626	0.11936273
627	0.1193257987
628	0.1192952357
629	0.1192217058
630	0.1191848534
631	0.1191387561
632	0.119095605
633	0.1190494119
634	0.11901976
635	0.1189756933
636	0.1189479505
637	0.1188581502
638	0.1188238753
639	0.1187892526
640	0.118727596
641	0.1186996759
642	0.1186323085
643	0.118589576
644	0.1185158183
645	0.1184935566
646	0.1184395732
647	0.1184149631
648	0.1183876062
649	0.1183593956
650	0.1183180415
651	0.1182646996
652	0.1182440241
653	0.1182241226
654	0.1181750909
655	0.1181210852
656	0.1181009329
657	0.1180490245
658	0.117997581
659	0.1179290531
660	0.1179101107
661	0.117864552
662	0.117839134
663	0.1178151691
664	0.1177785163
665	0.1177116696
666	0.11766845
667	0.1176010435
668	0.1175744367
669	0.1175306981
670	0.1175070603
671	0.1174732076
672	0.1174421613
673	0.117425278
674	0.1173585313
675	0.1173365729
676	0.1173212289
677	0.1172836521
678	0.1172682516
679	0.1172295111
680	0.1171681472
681	0.1171295739
682	0.1170917709
683	0.1170088116
684	0.1169860577
685	0.1169437041
686	0.1169030577
687	0.1168581228
688	0.1168005617
689	0.1167793408
690	0.1167007282
691	0.1166651089
692	0.1166033869
693	0.1165602153
694	0.1165193629
695	0.1164807941
696	0.1164271176
697	0.1163846631
698	0.1163488395
699	0.1162823294
700	0.1162292184
701	0.1162030795
702	0.1161534188
703	0.1161162663
704	0.1160920964
705	0.116059134
706	0.1159690866
707	0.1158697211
708	0.1158306611
709	0.1157959004
710	0.1157659829
711	0.1157013932
712	0.1156773854
713	0.1155981118
714	0.1155626607
715	0.1155381916
716	0.1155111913
717	0.1154607339
718	0.1154184879
719	0.1153818288
720	0.1153550116
721	0.1153153838
722	0.1152695955
723	0.1152500263
724	0.1152087635
725	0.1151896407
726	0.1151292833
727	0.1150440215
728	0.1150032981
729	0.1149871297
730	0.1149566929
731	0.1149068448
732	0.1148715156
733	0.1148484414
734	0.1147866418
735	0.1147624392
736	0.1147436099
737	0.1147326429
738	0.1146828483
739	0.1146318881
740	0.1146003895
741	0.1145611446
742	0.1145496962
743	0.1145299621
744	0.1144808686
745	0.1144376759
746	0.1143945751
747	0.1143470136
748	0.114306741
749	0.1141907487
750	0.1141559875
751	0.1140827692
752	0.1140496759
753	0.1140384006
754	0.1140132647
755	0.113980728
756	0.1139442998
757	0.1138876854
758	0.1138485412
759	0.1138229399
760	0.1138018424
761	0.1137711152
762	0.1137490601
763	0.1137140447
764	0.1136800605
765	0.1136637402
766	0.1136548194
767	0.1136386627
768	0.113599076
769	0.1135633102
770	0.1134973739
771	0.1134448844
772	0.1134037357
773	0.1133783671
774	0.1133681288
775	0.1133093154
776	0.113268037
777	0.1132448633
778	0.1132004072
779	0.1131778383
780	0.1131617892
781	0.1131378603
782	0.1130217231
783	0.112994897
784	0.1129722075
785	0.1129338685
786	0.1129109852
787	0.1128852707
788	0.1128306216
789	0.1127688806
790	0.1127084854
791	0.1126903913
792	0.112648435
793	0.1125793023
794	0.1125560471
795	0.1125313382
796	0.1125035923
797	0.1124936065
798	0.1124451614
799	0.1123987128
800	0.1123600991
801	0.1123172109
802	0.1122678339
803	0.1122282489
804	0.1121210094
805	0.1120835289
806	0.1120616356
807	0.1120083242
808	0.1119722436
809	0.1119289486
810	0.1118780692
811	0.1118468195
812	0.111826095
813	0.1117935929
814	0.111757334
815	0.1117179218
816	0.1116813242
817	0.1116154732
818	0.1115822433
819	0.111545614
820	0.1115003865
821	0.1114433317
822	0.1114034571
823	0.1113616859
824	0.1113323334
825	0.1113118577
826	0.1112857563
827	0.1112501084
828	0.1112164438
829	0.1111682045
830	0.1111503254
831	0.1111229616
832	0.1111018691
833	0.1110809382
834	0.1110610907
835	0.111046226
836	0.1110204505
837	0.1109990941
838	0.1109772079
839	0.1109527747
840	0.1109118254
841	0.1108788239
842	0.1108611273
843	0.1107952221
844	0.1107327434
845	0.110696042
846	0.1106070675
847	0.1105627374
848	0.1105302025
849	0.1104841969
850	0.1104381676
851	0.1104115107
852	0.1103714718
853	0.1103465968
854	0.1103298113
855	0.110301449
856	0.1102778898
857	0.1102433051
858	0.1102304856
859	0.1101843691
860	0.1101646594
861	0.1101225134
862	0.1100937311
863	0.110036112
864	0.1099882766
865	0.1099406952
866	0.1098825565
867	0.1098313577
868	0.109751132
869	0.1096964413
870	0.1096730159
871	0.1096592803
872	0.1096325081
873	0.1096076923
874	0.1095880126
875	0.1095467106
876	0.1095355396
877	0.1094824342
878	0.1094687612
879	0.1094485721
880	0.1094238026
881	0.1094070335
882	0.1093457859
883	0.1093245072
884	0.1093076396
885	0.1092841451
886	0.1092314205
887	0.1092131476
888	0.1091938328
889	0.1091783393
890	0.1091412177
891	0.1091038168
892	0.1090792094
893	0.1090595693
894	0.1090340571
895	0.1089797808
896	0.1089417857
897	0.1089103355
898	0.1088804404
899	0.1088572573
900	0.1088425936
901	0.1088008259
902	0.108765057
903	0.1087403676
904	0.1087255611
905	0.1086849849
906	0.1086551871
907	0.1086167738
908	0.108590976
909	0.1085784166
910	0.1085541318
911	0.1085206693
912	0.1084960758
913	0.1084789307
914	0.1084515431
915	0.1083962792
916	0.108367242
917	0.1083369946
918	0.1082785264
919	0.1082291568
920	0.1082084364
921	0.108172284
922	0.1081493756
923	0.1081228041
924	0.1080965069
925	0.1080511625
926	0.1080288992
927	0.10799342
928	0.1079671053
929	0.1079380997
930	0.107897303
931	0.1078660566
932	0.1078275436
933	0.1077867706
934	0.1077380607
935	0.1077166955
936	0.1076167675
937	0.1075941591
938	0.1075696777
939	0.107544228
940	0.1075084809
941	0.1074688632
942	0.1074580046
943	0.1074159808
944	0.1073804229
945	0.1073483064
946	0.1073244726
947	0.1073105211
948	0.1072696199
949	0.1072322513
950	0.1071999739
951	0.1071557027
952	0.1071153088
953	0.1070644171
954	0.1070403515
955	0.1069993059
956	0.1069647097
957	0.1069487793
958	0.1069099465
959	0.1068654313
960	0.106843989
961	0.1068272541
962	0.1068033056
963	0.1067713766
964	0.1067585485
965	0.1067425795
966	0.1067185438
967	0.1067068209
968	0.1066750269
969	0.1066367384
970	0.1066042913
971	0.1065648938
972	0.1065233033
973	0.1064940118
974	0.106463005
975	0.1064537259
976	0.1064216506
977	0.106401444
978	0.1063860094
979	0.1063684177
980	0.106323504
981	0.1063016873
982	0.1062676829
983	0.1062460498
984	0.106235106
985	0.1062130264
986	0.1061882027
987	0.1061722445
988	0.106156248
989	0.106141931
990	0.1061208427
991	0.1060963651
992	0.1060700264
993	0.1060381822
994	0.1059963418
995	0.1059636707
996	0.1059443283
997	0.1058742957
998	0.1058559827
999	0.1058266051
