iter	Passed	Remaining
0	1	1891
1	5	2511
2	6	2189
3	8	2042
4	10	2010
5	11	1924
6	12	1805
7	14	1761
8	15	1723
9	17	1707
10	18	1675
11	20	1650
12	21	1623
13	23	1622
14	24	1614
15	26	1599
16	27	1588
17	28	1574
18	30	1565
19	31	1552
20	33	1546
21	34	1538
22	35	1528
23	37	1526
24	38	1517
25	40	1508
26	41	1498
27	43	1502
28	44	1493
29	45	1485
30	47	1477
31	48	1471
32	50	1468
33	51	1460
34	52	1453
35	54	1451
36	55	1446
37	57	1446
38	58	1440
39	59	1435
40	61	1432
41	62	1435
42	64	1431
43	65	1426
44	66	1420
45	68	1417
46	69	1417
47	71	1411
48	72	1407
49	73	1403
50	75	1398
51	77	1404
52	78	1401
53	79	1400
54	81	1398
55	82	1395
56	84	1392
57	85	1387
58	86	1383
59	88	1380
60	89	1378
61	90	1374
62	92	1373
63	93	1369
64	94	1365
65	96	1363
66	97	1359
67	98	1356
68	100	1353
69	101	1350
70	103	1349
71	104	1346
72	105	1344
73	107	1342
74	108	1341
75	110	1340
76	111	1337
77	112	1333
78	114	1330
79	115	1328
80	116	1326
81	118	1323
82	119	1320
83	120	1317
84	122	1316
85	123	1313
86	124	1310
87	126	1308
88	127	1306
89	129	1306
90	130	1305
91	131	1302
92	133	1299
93	134	1296
94	135	1294
95	137	1296
96	139	1295
97	140	1294
98	142	1295
99	143	1294
100	145	1292
101	146	1291
102	148	1290
103	150	1292
104	151	1293
105	153	1291
106	154	1289
107	156	1288
108	157	1286
109	158	1284
110	160	1282
111	161	1282
112	163	1281
113	164	1279
114	166	1283
115	168	1285
116	170	1284
117	171	1282
118	173	1281
119	174	1279
120	175	1277
121	177	1276
122	178	1274
123	180	1272
124	181	1271
125	196	1363
126	198	1361
127	199	1359
128	201	1362
129	203	1361
130	204	1358
131	206	1355
132	207	1353
133	209	1352
134	210	1350
135	212	1347
136	213	1344
137	214	1342
138	216	1339
139	217	1336
140	218	1333
141	220	1330
142	221	1328
143	223	1325
144	224	1323
145	225	1321
146	227	1318
147	228	1317
148	230	1314
149	231	1311
150	232	1308
151	234	1307
152	235	1304
153	237	1302
154	238	1299
155	239	1296
156	241	1294
157	242	1292
158	243	1289
159	245	1286
160	246	1283
161	247	1280
162	249	1279
163	250	1276
164	251	1274
165	253	1272
166	254	1270
167	256	1268
168	257	1266
169	258	1264
170	260	1261
171	261	1259
172	263	1257
173	264	1256
174	265	1253
175	267	1252
176	268	1250
177	270	1248
178	271	1246
179	273	1244
180	274	1242
181	275	1240
182	277	1237
183	278	1235
184	279	1233
185	281	1232
186	284	1236
187	285	1234
188	287	1233
189	288	1230
190	290	1228
191	291	1226
192	292	1224
193	294	1224
194	296	1222
195	297	1219
196	298	1217
197	300	1215
198	301	1213
199	302	1211
200	304	1209
201	305	1207
202	307	1205
203	308	1203
204	309	1200
205	311	1198
206	312	1196
207	314	1195
208	315	1193
209	316	1191
210	317	1189
211	319	1187
212	320	1185
213	322	1183
214	323	1181
215	324	1179
216	326	1177
217	327	1176
218	329	1174
219	330	1171
220	331	1169
221	333	1167
222	334	1165
223	335	1163
224	337	1161
225	338	1159
226	340	1158
227	341	1156
228	342	1154
229	344	1152
230	345	1150
231	347	1149
232	348	1147
233	349	1145
234	351	1143
235	352	1141
236	353	1139
237	355	1137
238	356	1135
239	357	1133
240	359	1131
241	361	1131
242	362	1129
243	364	1127
244	365	1125
245	366	1124
246	368	1122
247	369	1120
248	370	1118
249	372	1117
250	374	1116
251	375	1114
252	376	1112
253	377	1110
254	379	1108
255	380	1106
256	382	1105
257	383	1103
258	385	1101
259	386	1100
260	387	1098
261	389	1096
262	390	1095
263	392	1093
264	393	1091
265	394	1089
266	396	1087
267	397	1086
268	399	1085
269	400	1084
270	402	1082
271	403	1080
272	404	1078
273	406	1076
274	407	1074
275	408	1072
276	410	1071
277	411	1069
278	413	1067
279	414	1066
280	415	1064
281	417	1062
282	418	1061
283	420	1059
284	421	1057
285	422	1055
286	424	1054
287	425	1052
288	427	1050
289	428	1048
290	429	1047
291	431	1045
292	432	1044
293	434	1042
294	435	1040
295	437	1039
296	438	1037
297	439	1036
298	441	1034
299	442	1032
300	443	1030
301	445	1029
302	446	1027
303	448	1025
304	449	1024
305	450	1022
306	452	1020
307	453	1018
308	454	1016
309	455	1014
310	457	1012
311	458	1011
312	460	1009
313	461	1008
314	462	1006
315	464	1004
316	465	1002
317	466	1001
318	468	999
319	469	997
320	470	996
321	472	994
322	473	993
323	475	991
324	476	990
325	478	988
326	479	987
327	481	985
328	482	983
329	483	982
330	485	980
331	486	979
332	488	977
333	489	976
334	491	974
335	492	973
336	494	972
337	495	970
338	496	968
339	498	967
340	499	965
341	501	964
342	502	962
343	504	961
344	505	959
345	506	957
346	508	956
347	509	954
348	510	952
349	512	951
350	513	949
351	515	948
352	516	946
353	517	944
354	519	943
355	520	941
356	521	939
357	523	938
358	524	936
359	525	935
360	527	933
361	528	931
362	530	930
363	531	928
364	532	927
365	534	925
366	535	923
367	536	922
368	538	920
369	540	920
370	541	918
371	543	917
372	544	915
373	546	914
374	547	912
375	548	911
376	550	909
377	551	908
378	553	906
379	554	905
380	556	903
381	558	902
382	559	901
383	560	899
384	562	898
385	564	897
386	565	895
387	566	894
388	568	892
389	569	891
390	571	889
391	572	888
392	574	887
393	575	885
394	577	885
395	579	883
396	580	882
397	582	880
398	584	879
399	585	878
400	587	876
401	588	875
402	590	874
403	591	873
404	593	871
405	594	870
406	596	868
407	597	867
408	599	866
409	600	864
410	602	863
411	603	861
412	605	860
413	606	858
414	608	857
415	609	855
416	611	854
417	612	853
418	614	851
419	615	850
420	617	849
421	618	847
422	620	846
423	621	844
424	623	843
425	624	841
426	626	840
427	627	838
428	628	837
429	630	835
430	631	833
431	633	832
432	634	830
433	635	829
434	637	827
435	638	826
436	640	824
437	641	823
438	642	821
439	644	820
440	646	818
441	647	817
442	648	815
443	650	814
444	652	813
445	653	811
446	654	810
447	656	808
448	657	807
449	659	805
450	660	804
451	662	802
452	663	801
453	665	800
454	666	798
455	668	797
456	669	796
457	671	794
458	672	793
459	674	791
460	675	790
461	677	788
462	678	787
463	680	785
464	681	784
465	683	783
466	685	782
467	686	780
468	688	778
469	689	777
470	690	775
471	692	774
472	693	772
473	695	771
474	696	770
475	698	768
476	699	767
477	701	765
478	703	764
479	704	763
480	705	761
481	707	760
482	708	758
483	710	757
484	711	755
485	713	754
486	714	752
487	716	751
488	717	749
489	718	748
490	720	746
491	721	745
492	723	744
493	724	742
494	726	741
495	727	739
496	729	738
497	730	736
498	732	735
499	733	733
500	735	732
501	736	731
502	738	729
503	739	728
504	741	726
505	743	725
506	744	723
507	746	722
508	747	721
509	749	719
510	750	718
511	752	716
512	753	715
513	755	714
514	756	712
515	758	711
516	759	709
517	761	708
518	762	707
519	764	705
520	766	704
521	767	702
522	769	701
523	770	700
524	772	698
525	773	697
526	775	696
527	776	694
528	778	693
529	779	691
530	781	690
531	782	688
532	784	687
533	785	685
534	787	684
535	789	683
536	790	681
537	792	680
538	793	678
539	795	677
540	796	676
541	798	674
542	799	673
543	801	671
544	802	670
545	804	668
546	805	667
547	807	665
548	808	664
549	810	663
550	811	661
551	813	660
552	815	658
553	816	657
554	818	655
555	819	654
556	821	652
557	822	651
558	823	650
559	825	648
560	826	647
561	828	645
562	829	644
563	831	642
564	832	641
565	834	639
566	835	638
567	837	636
568	838	635
569	840	633
570	841	632
571	843	630
572	844	629
573	845	627
574	847	626
575	849	625
576	850	623
577	852	622
578	853	620
579	855	619
580	856	617
581	858	616
582	859	614
583	861	613
584	863	612
585	864	610
586	866	609
587	868	608
588	869	606
589	871	605
590	872	603
591	874	602
592	875	601
593	877	599
594	879	598
595	881	597
596	882	595
597	884	594
598	885	592
599	887	591
600	888	589
601	890	588
602	891	586
603	892	585
604	894	584
605	896	582
606	897	581
607	899	579
608	900	578
609	902	577
610	903	575
611	905	574
612	907	572
613	908	571
614	910	569
615	911	568
616	913	567
617	915	565
618	916	564
619	918	562
620	919	561
621	921	560
622	922	558
623	924	556
624	925	555
625	927	554
626	928	552
627	930	551
628	931	549
629	933	548
630	935	546
631	936	545
632	938	543
633	939	542
634	941	540
635	942	539
636	944	537
637	945	536
638	946	534
639	948	533
640	949	531
641	951	530
642	952	528
643	954	527
644	955	525
645	957	524
646	958	522
647	960	521
648	961	519
649	962	518
650	964	517
651	966	515
652	967	514
653	969	512
654	970	511
655	972	509
656	973	508
657	975	506
658	976	505
659	978	503
660	979	502
661	981	500
662	982	499
663	984	497
664	985	496
665	987	495
666	988	493
667	990	492
668	991	490
669	993	489
670	995	488
671	997	486
672	998	485
673	1000	483
674	1001	482
675	1003	480
676	1004	479
677	1006	477
678	1007	476
679	1009	475
680	1010	473
681	1012	472
682	1014	470
683	1015	469
684	1016	467
685	1018	466
686	1020	464
687	1021	463
688	1023	461
689	1024	460
690	1026	459
691	1028	457
692	1029	456
693	1031	454
694	1032	453
695	1034	451
696	1035	450
697	1037	448
698	1039	447
699	1041	446
700	1042	444
701	1044	443
702	1045	441
703	1047	440
704	1049	438
705	1050	437
706	1052	436
707	1053	434
708	1055	433
709	1056	431
