,corr_spearman
is_daylight,0.7801977202704432
hour_cos,-0.7442154015556987
is_morning_rush,0.3901676060317366
is_evening_rush,0.35925624987720767
hour,0.35686200142037366
is_weekend,-0.22324972686161126
day_sin,0.168398911607772
hour_sin,-0.16058384938182949
day_of_week,-0.15161735043177613
temp,0.1497291404891334
rush_x_severe,0.09914667581169875
day_cos,-0.06951152143435194
is_raining,0.02991608603264799
rain_1h,0.02964553181153653
month_sin,0.02854005806922538
month,0.01824449268745369
month_cos,-0.01824449268745369
is_severe_weather,-0.014480715342312581
clouds_all,-0.004419680721385815
ID,-0.004067366646306633
time_index,0.0015275311536969319
year,-0.0007076345459520191
